Staging Ref,Rate Staging Ref,Lower Limit ,Upper Limit,Band Type Name,Rate Band Description
SI0103-20240401-A,SI0103-20240401,0,90,SWW HH Seasonal Peak,SWW HH Meas Wat Volume - Seasonal Peak - Base Rate
SI0103-20240401-B,SI0103-20240401,91,,SWW HH Seasonal Peak,SWW HH Meas Wat Volume - Seasonal Peak - Seasonal Peak Rate
SI0104-20240401-A,SI0104-20240401,0,46,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Essential Block
SI0104-20240401-B,SI0104-20240401,47,135,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Standard Block
SI0104-20240401-C,SI0104-20240401,136,,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Premium Block
SI0103-20250401-A,SI0103-20250401,0,90,SWW HH Seasonal Peak,SWW HH Meas Wat Volume - Seasonal Peak - Base Rate
SI0103-20250401-B,SI0103-20250401,91,,SWW HH Seasonal Peak,SWW HH Meas Wat Volume - Seasonal Peak - Seasonal Peak Rate
SI0104-20250401-A,SI0104-20250401,0,46,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Essential Block
SI0104-20250401-B,SI0104-20250401,47,135,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Standard Block
SI0104-20250401-C,SI0104-20250401,136,,SWW HH Smart Saver,SWW HH Meas Wat Volume - Smart Saver RBT - Premium Block
SI0321-20240401-A,SI0321-20240401,0,90,IOS HH Seasonal Peak,IOS HH Meas Wat Volume - Seasonal Peak - Base Rate
SI0321-20240401-B,SI0321-20240401,91,,IOS HH Seasonal Peak,IOS HH Meas Wat Volume - Seasonal Peak - Seasonal Peak Rate
SI0322-20240401-A,SI0322-20240401,0,46,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Essential Block
SI0322-20240401-B,SI0322-20240401,47,135,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Standard Block
SI0322-20240401-C,SI0322-20240401,136,,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Premium Block
SI0321-20250401-A,SI0321-20250401,0,90,IOS HH Seasonal Peak,IOS HH Meas Wat Volume - Seasonal Peak - Base Rate
SI0321-20250401-B,SI0321-20250401,91,,IOS HH Seasonal Peak,IOS HH Meas Wat Volume - Seasonal Peak - Seasonal Peak Rate
SI0322-20250401-A,SI0322-20250401,0,46,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Essential Block
SI0322-20250401-B,SI0322-20250401,47,135,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Standard Block
SI0322-20250401-C,SI0322-20250401,136,,IOS HH Smart Saver,IOS HH Meas Wat Volume - Smart Saver RBT - Premium Block
