StagingRef__c,Name
ADSM-R,ADSM
BSTREAM-R,Business Stream
CASTLE-R,Castle Water
CLEARBUS-R,Clear Business Water
CONSERV-R,ConservAqua
EVERFLOW-R,Everflow
FIRSTBW-R,Pozitive Water
SUTTON-R,SES Business Water
SMARTA-R,Smarta Water
SOUTHWEST-R,Pennon Water Services
TWRC-R,The Water Retail Company
VWRL-R,Veolia Water Retail
WATER2BUS-R,Water2business
SEVERN-R,Water Plus
WATERSCAN-R,Waterscan
WAVE-R,Wave
YUWATER-R,YU Water
INDWATER-R,Independent Water Networks
ICOSA2-R,Icosa Water
SSE-R,Leep
ESP-R,ESP Utilities
AFFINITY-R,Affinity for Business
ALBIONECO-R,Albion Eco
ALBION-R,Albion Water
ANGLIAN-R,Anglian Water Business
AQUAFLOW-R,Aquaflow
BUSSTREAM-R,Business Stream
CAMBRIAN-R,Cambrian
CONSERVAQ-R,ConservAqua
DEEVALLEY-R,Hafren Dyfrdwy
DWRCYMRU-R,Dwr Cymru Welsh Water
KELDA-R,Three Sixty Water
NORTHUM-R,NWG Business
OBW-R,One Business Water
PEEL-R,Leep Water
PEELWL-R,Pod53
REGENT-R,Regent Water
SOUTHEAST-R,South East Water Choice
SOUTHSTAFF-R,South Staffordshire Water Business
TORWATER-R,Tor Water
UNITED-R,Water Plus
VEOLIA-R,Veolia Water Projects
WTRCHOICE-R,Castle Water South East
YORKSHIRE-R,Business Stream (Yorkshire)
ARLAFOODS-R,Arla Foods
BLACKPOOL-R,Blackpool Borough Council
BT-R,BT
CCEP-R,Coca-Cola
DAVIDLLOYD-R,David Lloyd
ELIS-R,Elis UK
GREENEKING-R,Greene King
HEINEKEN-R,Heineken UK
JLP-R,John Lewis
KELLOGGS-R,Kellogg's
MARSTONS-R,Marstons
NCC-R,Nottingham City Council
SAINSBURYS-R,Sainsbury's
SEFTON-R,Sefton Council
STONEGATE-R,Stonegate Pub Company
WHITBREAD-R,Whitbread
UNKNOWN-R,Unknown
