Staging Ref,Name,Record Type Staging Ref,Description,Create Estimate,Create Error,Action,
SK01,SK01,Skip Code,CANT LOCATE METER,1,0,Case,
SK02,SK02,Skip Code,ANIMALS/INSECTS/CROP,1,0,,
SK04,SK04,Skip Code,METER COVERED,0,1,,
SK05,SK05,Skip Code,METER BURIED,1,0,,
SK06,SK06,Skip Code,METER/AREA FLOODED,1,0,,
SK07,SK07,Skip Code,LID JAMMED,1,0,,
SK10,SK10,Skip Code,METER REMOVED,1,0,,
SK12,SK12,Skip Code,DUPLICATE ACCOUNT,1,0,,
SK13,SK13,Skip Code,HAZARDOUS LOCATION,1,0,,
SK14,SK14,Skip Code,WRONG ROUTE,1,0,,
SK15,SK15,Skip Code,NO ACC ACCESS REFUSED,1,0,,
SK16,SK16,Skip Code,FROZEN COVER,1,0,,
SK18,SK18,Skip Code,NO ACC HOL HOME POSS,1,0,,
SK19,SK19,Skip Code,NO ACC LT VOID,1,0,,
SK20,SK20,Skip Code,NO ACC EXT METER,0,1,Case,
SK21,SK21,Skip Code,NO ACC INT METER,0,1,Case,
SK23,SK23,Skip Code,NO ACC CROP OR STOCK,1,0,,
SK25,SK25,Skip Code,METER UNREADABLE,1,0,,
SK26,SK26,Skip Code,READ HEAD MISSING,1,0,,
SK28,SK28,Skip Code,AQUA SCREEN DOWN,1,0,,
SK29,SK29,Skip Code,TARMAC OVER METER,1,0,,
AQFB,AQFB,Trouble Code,AQUA FLASH BATTERY,0,0,,
CHDA,CHDA,Trouble Code,CHAMBER DAMAGED,0,0,,
CHGM,CHGM,Trouble Code,CHANGED DETAILS,0,0,,
CLOK,CLOK,Trouble Code,METER CLOCKED,0,0,,
FAIN,FAIN,Trouble Code,FAULTY INSALLATION,0,0,,
GCCE,GCCE,Trouble Code,GLASS CRACK CANT EXCHANGE,0,0,,
LIDD,LIDD,Trouble Code,LID DAMAGED,0,0,,
LMIS,LMIS,Trouble Code,LID MISSING,0,0,,
LPOS,LPOS,Trouble Code,LEAK POSSIBLE,0,0,,
LTVP,LTVP,Trouble Code,LONG TERM VOID PROPERTY,0,0,,
MEIR,MEIR,Trouble Code,METER IN REVERSE,0,0,,
MEST,MEST,Trouble Code,METER STOPPED,0,0,,
MEWR,MEWR,Trouble Code,WRONG ROUTE,0,0,,
MNRA,MNRA,Trouble Code,METER NEEDS RAISING,0,0,,
MRBD,MRBD,Trouble Code,METER READ BUT DAMAGED,0,0,,
MULE,MULE,Trouble Code,METER UNIONS LEAKING,0,0,,
PDEM,PDEM,Trouble Code,PROPERTY DEMOLISHED,0,0,,
POPM,POPM,Trouble Code,PREVIOUS MISREAD,0,0,,
PREM,PREM,Trouble Code,PREMISES EMPTY,0,0,,
PROC,PROC,Trouble Code,PREMISES OCCUPIED,0,0,,
PROE,PROE,Trouble Code,PREVIOUS OVER ESTIMATE,0,0,,
RECO,RECO,Trouble Code,READ CONFIRMED,0,0,,
RELO,RELO,Trouble Code,RELOCATE METER,0,0,,
TRIP,TRIP,Trouble Code,TRIP HAZARD,0,0,,
WSTO,WSTO,Trouble Code,SUPPLY TURNED OFF,0,0,,
RMTR,RMTR,Trouble Code,REMOTE METER AMR/AMI,0,0,,
MISC,MISC,Trouble Code,MISC,0,0,,
