Staging Ref,Wholesaler Name,Market Equivalent,Business Unit,isNav__c,AccountContactScreen__c,Apt_UK__RPI__c,IssuerIdentificationNumber__c,CompanyBankAccount__c,GiroTransactionIdentifier__c,GiroTransactionType__c,GiroTransactionCode__c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWW,South West Water,SOUTHWEST-W,South West Water,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW,Bournemouth Water,SOUTHWEST-W-BW,Bournemouth Water,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOS,Isle of Scilly,SOUTHWEST-W-IOS,South West Water,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBT,Westernbirt,SOUTHWEST-W-WW,South West Water,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,Wessex Water,WESSESX-W,Bournemouth Water,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STW,Southern Water,SOUTHERN-W,Bournemouth Water,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWNL,Independent Water Networks (IWNL) - NAV,INDWATER-W,South West Water,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICOSA,ICOSA - NAV,ICOSA2-W,South West Water,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU,Leep Utilities - NAV,SSE-W,South West Water,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPU,ESP Utilities - NAV,ESP-W,South West Water,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
